id,url,img,info,price,condition,description,imgurl,postdate,time_since_posting
696831419,https://offerup.com/item/detail/696831419/,https://photos.offerup.com/3gsb_xiQ2V3S4VmI6C5n4dF9S9U=/300x400/1523/1523e2c6b1514e5d8dd79608bb62f889.jpg,"['pink dresser', '$175.00', 'lynwood, ca']",175.0,Used (normal wear),Pink dresser. Make an offer!,https://photos.offerup.com/zCKDsou8_i-6R4g0sN4KJrW9qCk=/480x640/1523/1523e2c6b1514e5d8dd79608bb62f889.jpg,2019-06-17 01:59:39.816457,0.002083333333333333
696829920,https://offerup.com/item/detail/696829920/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['large cherry wood dresser with mirr...', '$395.00', 'redondo beach, ca']",395.0,Used (normal wear),"Beautiful large dresser with cherry finish, ALL WOOD!! Includes large matching mirror.

7 drawers - lots of storage space

Some scratches from normal use.

Buyer to pickup, cash only. Make an offer!",https://photos.offerup.com/aUT2XRf_DGxQSgM6sN4nJZht2PA=/600x773/c9c5/c9c5c803c3594365b722b35dbd05f889.jpg,2019-06-17 01:49:39.816457,0.009027777777777777
696825056,https://offerup.com/item/detail/696825056/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['mid century mod 6 drawers buffet co...', '$150.00', 'montebello, ca']",150.0,Used (normal wear),Mid Century Mod 6 Drawers Buffet Console Unit Dresser Clothes Storage Chest Organizer Stand Unit Wardrobe. Make an offer!,https://photos.offerup.com/PVyqUSWKjKhjiYA2QBlEd4LVldk=/600x431/9b40/9b40157948ed49e682da1a948d3f8d94.jpg,2019-06-17 01:21:39.816457,0.028472222222222218
696818891,https://offerup.com/item/detail/696818891/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['cabinets', '$100.00', 'newport beach, ca']",100.0,Used (normal wear),Dresser with shelves . Make an offer!,https://photos.offerup.com/ALQlVkuPrnHTbGZrO5fTlb5irV0=/600x600/5e7d/5e7d97c2a902449882c193866b8de365.jpg,2019-06-17 01:02:39.816457,0.041666666666666664
696818347,https://offerup.com/item/detail/696818347/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['light grey dressers with interior i...', '$379.00', 'la puente, ca']",379.0,Open box (never used),Light grey dressers with interior in tall one. Make an offer!,https://photos.offerup.com/Gv_Jh5lvW2IUjstspeFTqSCRcXc=/600x800/086d/086dda36422a46039bd4a26b31b194ad.jpg,2019-06-17 01:02:39.816457,0.041666666666666664
696817206,https://offerup.com/item/detail/696817206/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['dresser for sale', '$700.00', 'inglewood, ca']",700.0,Used (normal wear),In very good conditions . Make an offer!,https://photos.offerup.com/5sWN7pkcFzpo89V3e5y5JQWgjeA=/600x800/d884/d884717b4fb94efc89c43b82ef7acb22.jpg,2019-06-17 01:02:39.816457,0.041666666666666664
696815476,https://offerup.com/item/detail/696815476/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['dresser', '$20.00', 'los angeles, ca']",20.0,Used (normal wear),Only one drawer is cracked accross but still works . Make an offer!,https://photos.offerup.com/977HZ7a7Vtl-OWFexal4fEk5RjY=/600x800/863f/863f4ff9a5fb4835b37d6e44541dd59f.jpg,2019-06-17 01:02:39.816457,0.041666666666666664
696803615,https://offerup.com/item/detail/696803615/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['full bedroom set. queen bed with ma...', '$300.00', 'los angeles, ca']",300.0,Used (normal wear),"Queen Bed w/ Matress. Minor Damage to bed not noticeable. 4 year old mattress very comfortable.

Dresser w/ Large Mirror in perfect condition.

2 Bedside Table/Draws 1 in perfect condition one with some damage on the top. 

Cost $2000 all together as new 4 years ago.. Make an offer!",https://photos.offerup.com/pcYwoe2GaMo9a0Xk8kcmYywdL8Y=/600x450/3dba/3dba81504f6747c8b24f922c37fbad19.jpg,2019-06-17 00:02:39.816457,0.08333333333333333
696801704,https://offerup.com/item/detail/696801704/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['dresser with mirror and night stand', '$360.00', 'whittier, ca']",360.0,New (never used),"Dresser w/Mirror: ""NEW"" Farrell, gray.
Night Stand: ""NEW"" Farrell, gray.
All items new, never used.
Pickup only -- Thanks. Make an offer!",https://photos.offerup.com/jckUeV8x2XK0XYrUJQnGuXtLKco=/600x1234/6f10/6f1042f1d92a4273b1ee74f5e0d76935.jpg,2019-06-17 00:02:39.816457,0.08333333333333333
696790781,https://offerup.com/item/detail/696790781/,https://photos.offerup.com/3F8-xieD47tptqBMWrD2dz1zKaY=/300x175/e9ae/e9ae5b4c20c344dea426d92375b49b2d.jpg,"['kent coffey “the beverly” mid centu...', '$350.00', 'pasadena, ca']",350.0,Used (normal wear),"Kent Coffey The Beverly Mid-Century Modern dresser in burnished mahogany. The condition is very good with wear consistent with age. I attached pics of some imperfections. This piece has been highly complimented by friends and family. The dimensions are 58” W x 20” D x 32” H. 

I’m moving out of state by the end of the month. Selling all my furniture, so keep on a look out for other pieces. All offers considered! Just no low balling please. First come, first serve basis. Thanks for looking :) . Make an offer!",https://photos.offerup.com/D0P6HJyzlR5m18MZkTZwPZSLoow=/600x350/e9ae/e9ae5b4c20c344dea426d92375b49b2d.jpg,2019-06-17 00:02:39.816457,0.08333333333333333
695860157,https://offerup.com/item/detail/695860157/,https://photos.offerup.com/WJuUzKNAgUbR4BVklD1zLdCSW_s=/300x225/5e03/5e03031673974bd683041394d02d9796.jpg,"['promoted', 'dresser top quality', '$260.00', 'los angeles, ca']",260.0,Used (normal wear),Small cup ring on top.. Make an offer!,https://photos.offerup.com/OTxbtyqYe5lq4_S2aiFVN2X7-0E=/600x450/5e03/5e03031673974bd683041394d02d9796.jpg,2019-06-16 02:02:39.816457,1.0
696777678,https://offerup.com/item/detail/696777678/,https://photos.offerup.com/fYNCj19PQB-0NpT4oF2jlF8RKPE=/300x400/7346/734677a77782481f9a51b6e4c464aad3.jpg,"['5 drawer dressers', '$200.00', 'huntington park, ca']",200.0,Used (normal wear),5 drawer dressers black.  Set of 2.. Make an offer!,https://photos.offerup.com/ciSkC9f2FKmIl3A-h7zibNcVq3o=/600x800/7346/734677a77782481f9a51b6e4c464aad3.jpg,2019-06-16 23:02:39.816457,0.125
696776687,https://offerup.com/item/detail/696776687/,https://photos.offerup.com/ndcNnz8z1BijA-t4fSoOrkP_qN4=/300x533/9430/943020c3e0dc4bb9b2aa6ed37e30cef9.jpg,"['6 drawer dresser', '$50.00', 'gardena, ca']",50.0,Used (normal wear),6 drawer dresser. Make an offer!,https://photos.offerup.com/bg4zS4Kt4oz-T1KxwTZlyWXmprM=/600x1066/9430/943020c3e0dc4bb9b2aa6ed37e30cef9.jpg,2019-06-16 23:02:39.816457,0.125
696769766,https://offerup.com/item/detail/696769766/,https://photos.offerup.com/jvo1l6MDDm11LoqYz-HxDDUNjso=/300x432/3a86/3a868d4141e649e7aed38bbcdc897ad3.jpg,"['dresser', '$25.00', 'east los angeles, ca']",25.0,Used (normal wear),5 drawer dresser only issue the top drawer is not hook on right but does close. Make an offer!,https://photos.offerup.com/v-6dnc3E0HMFg-SixcBzqefNlPY=/600x864/3a86/3a868d4141e649e7aed38bbcdc897ad3.jpg,2019-06-16 23:02:39.816457,0.125
696760371,https://offerup.com/item/detail/696760371/,https://photos.offerup.com/gl6l1nnHX8Rr6xSCRxrQbAMiiKA=/300x193/2ff5/2ff50cd385e2417e9f25b272ce4dfb5c.jpg,"['4pcs queen bedroom set', '$399.00', 'walnut, ca']",399.0,New (never used),"4 pcs 
1 queen bed 
1 night stand 
1 dresser 
1 mirror 


You can add :
extra night stand for $99
Tall chest $175 

C206351. Make an offer!",https://photos.offerup.com/-wvh_L0uA0_iVA0pGzdZBHSgFlM=/600x386/2ff5/2ff50cd385e2417e9f25b272ce4dfb5c.jpg,2019-06-16 22:02:39.816457,0.16666666666666666
696759510,https://offerup.com/item/detail/696759510/,https://photos.offerup.com/kraZo-pw_51NWH_P5SzGoaNzUaE=/300x400/50b3/50b3519db42c46c7aa4216a8a1d7ca5c.jpg,"['mid century/modern/credenza dresser...', '$440.00', 'costa mesa, ca']",440.0,Reconditioned/Certified,"Dimensions 


H x 47"" w x 38"" d x 18 1/2""


Nagevoce.    .Blogspot.      Com


tags: #reclaimed , #bench , #modern , #mid century , #dark walnut , #coffee table , #TV stand , #book shelf , #stool , #modern , #hard wood , #handmade , #colonial , #Victorian , #loft , #country , #country French , #Danish design, #art , #Dining Set , #Dining Table , #rustic modern , #dresser , #credenza , #danish , #bedroom , #refurbished , #DIY , #regency , #french provincial , #cottage , #shabby chic , #interior decor , #armoire , #night stands , #side tables , #retro , #art deco , #furniture #restoration #drawers. Make an offer!",https://photos.offerup.com/WWOf5H_-Z9QARABljNEyfpQJ-lQ=/337x450/50b3/50b3519db42c46c7aa4216a8a1d7ca5c.jpg,2019-06-16 22:02:39.816457,0.16666666666666666
696747965,https://offerup.com/item/detail/696747965/,https://photos.offerup.com/DceMI26CjdmGTByoKMZb9HstaM8=/300x432/b157/b157533c575b4dc983d6a2e1f3b7a837.jpg,"['dresser and night stand set', '$450.00', 'newport beach, ca']",450.0,Used (normal wear),"Black dresser and nightstand.  Dresser is 56’ tall by 42’ long and 17’ wide. Nightstand is 27’ tall, by 28’ long and 16’ wide. Items were taken care up and are in good shape with limited scratches and dings. . Make an offer!",https://photos.offerup.com/2eQKvB2QtVDfyI3Wi1mQbg-GC2g=/600x864/b157/b157533c575b4dc983d6a2e1f3b7a837.jpg,2019-06-16 22:02:39.816457,0.16666666666666666
696743769,https://offerup.com/item/detail/696743769/,https://photos.offerup.com/f1Te0C4bYrGxxBz8ffO5_a9itho=/300x225/946c/946c4da83712430c95d5130f6c1a582f.jpg,"['dresser', '$80.00', 'brea, ca']",80.0,Used (normal wear),Dresser. Make an offer!,https://photos.offerup.com/_Cn0f-tIHtRUGld9skHV5wODjHk=/600x450/946c/946c4da83712430c95d5130f6c1a582f.jpg,2019-06-16 22:02:39.816457,0.16666666666666666
696737657,https://offerup.com/item/detail/696737657/,https://photos.offerup.com/mxRm3KVcN_t4aMHYl4MLQCXh7qY=/300x400/2d90/2d90b7c8149a447baecdb5f2aea33d59.jpg,"['dresser mirror', '$50.00', 'torrance, ca']",50.0,New (never used),"dresser mirror never used or mounted on our dresser, $50  obo  make offer . Make an offer!",https://photos.offerup.com/Y9mIuEPgBLJKP80vk70K3AXQyGM=/600x800/2d90/2d90b7c8149a447baecdb5f2aea33d59.jpg,2019-06-16 21:02:39.816457,0.20833333333333331
696734249,https://offerup.com/item/detail/696734249/,https://photos.offerup.com/DP6mQR2zde31Tdg9JdkLzTRaaF8=/300x533/6048/604838e7e55a4342b0204beb0b623c23.jpg,"['wynwood 12 drawer wooden dresser 19...', '$260.00', 'gardena, ca']",260.0,Used (normal wear),"Wynwood 12 Drawer Wooden Dresser 19""D x 70""W x 37"" H. Make an offer!",https://photos.offerup.com/AefoemXg-sfBoJ1kmKho4nOHo7Q=/600x1066/6048/604838e7e55a4342b0204beb0b623c23.jpg,2019-06-16 21:02:39.816457,0.20833333333333331
696731841,https://offerup.com/item/detail/696731841/,https://photos.offerup.com/R1s-O6EsMhcGUB2S3l9tAetwa9k=/300x533/ccec/ccecc10dfac04b5bb8ed51edafe1e9b1.jpg,"['dresser', '$60.00', 'norwalk, ca']",60.0,Used (normal wear),Dresser 6 drawers good condition heavy wood. Obo.   52 x 33.5 . Make an offer!,https://photos.offerup.com/uI35esslgQs2khSkUM7PBa4YQQY=/600x1066/ccec/ccecc10dfac04b5bb8ed51edafe1e9b1.jpg,2019-06-16 21:02:39.816457,0.20833333333333331
696721392,https://offerup.com/item/detail/696721392/,https://photos.offerup.com/5qPQWiTNE8XD89IpqmEJRm5_sg4=/300x225/2767/27677bdc7f744345a5eb70012cd2f4d9.jpg,"['coaster miranda dresser, black', '$329.00', 'santa ana, ca']",329.0,New (never used),"New in box

Dresser: 63""W x 16.5""D x 38.75""H - 161lbs.
Optional Mirror: 46.5""W x 1""D x 36.5""H - 35lbs.

Cash and Credit Cards Accepted ||

FINANCE AND DELIVERY AVAILABLE 

Monday        (10am-7pm)
TUESDAY      CLOSED
Wednesday  (10am-7pm)
Thursday      (10am-7pm)
Friday           (10am-7pm)
Saturday      (10am-7pm)
Sunday         (12pm-6pm)

TEMPO CLEARANCE 
1261 S Lyon St Unit 401
Santa Ana, CA,  92705. Make an offer!",https://photos.offerup.com/UyLOIGfvxwhSwXB61V_baDMm8MA=/600x450/2767/27677bdc7f744345a5eb70012cd2f4d9.jpg,2019-06-16 21:02:39.816457,0.20833333333333331
696718989,https://offerup.com/item/detail/696718989/,https://photos.offerup.com/uQUSRkwnDT2PvCw9N6t-Yw4ssjA=/300x225/44ed/44ed25bdb32d4e5cb6667eda3dd9fa91.jpg,"['bedroom dresser', '$0.00', 'los angeles, ca']",0.0,Used (normal wear),Free.  No missing parts. Make an offer!,https://photos.offerup.com/BU5-wfdWRenz9GLO4TwLnLE5T9s=/600x450/44ed/44ed25bdb32d4e5cb6667eda3dd9fa91.jpg,2019-06-16 21:02:39.816457,0.20833333333333331
696708460,https://offerup.com/item/detail/696708460/,https://photos.offerup.com/yC0sOoMD4mbQwkMXHduFXG4OH9A=/300x533/e00d/e00da25ca0c84c6bb3bb5702dafc8b56.jpg,"['vintage wood dresser', '$225.00', 'glendora, ca']",225.0,New (never used),"42”H x 33”W x 19”D
Perfect condition!! . Make an offer!",https://photos.offerup.com/1o6Sr2p4-8zZmxpJ9hECkND-NmI=/600x1066/e00d/e00da25ca0c84c6bb3bb5702dafc8b56.jpg,2019-06-16 20:02:39.816457,0.25
696703823,https://offerup.com/item/detail/696703823/,https://photos.offerup.com/8H6TxvrGS2N6gjOdXEa9eRaS798=/300x400/dd37/dd37410a9f004037bcac263f9debbfc8.jpg,"['white dresser', '$15.00', 'la cañada flintridge, ca']",15.0,Used (normal wear),"White dresser
Good condition

$15 OBO
Located in Altadena
Cash only. Make an offer!",https://photos.offerup.com/pDMvvIr3KuNIv9xGpwednv04_Mw=/600x800/dd37/dd37410a9f004037bcac263f9debbfc8.jpg,2019-06-16 20:02:39.816457,0.25
696695885,https://offerup.com/item/detail/696695885/,https://photos.offerup.com/ruKYXjtwlGGzpeljxGcXuxW38pw=/300x412/7ef8/7ef8505cd9704787a29f1e4c100209c3.jpg,"['french provincial/shabby chic,dress...', '$360.00', 'costa mesa, ca']",360.0,Reconditioned/Certified,"Dimensions
H x 58 1/2"" w x 38"" d x 18""

Nagevoce. Blogspot. Com


tags: #reclaimed , #bench , #modern , #mid century , #dark walnut , #coffee table , #TV stand , #book shelf , #stool , #modern , #hard wood , #handmade , #colonial , #Victorian , #loft , #country , #country French , #Danish design, #art , #Dining Set , #Dining Table , #rustic modern , #dresser , #credenza , #danish , #bedroom , #refurbished , #DIY , #regency , #french provincial , #cottage , #shabby chic , #interior decor , #armoire , #night stands , #side tables , #retro , #art deco , #furniture #restoration #drawers. Make an offer!",https://photos.offerup.com/j6zuZwIHE67uCGnn8AFYuu_uZVE=/600x825/7ef8/7ef8505cd9704787a29f1e4c100209c3.jpg,2019-06-16 20:02:39.816457,0.25
696692797,https://offerup.com/item/detail/696692797/,https://photos.offerup.com/FeLaa-9pWNASvVJxOW4OpL9sB8I=/300x229/384b/384b4012fbec46859828c25c58c5a3fa.jpg,"['shabby chic/cottage dresser,turquoi...', '$340.00', 'costa mesa, ca']",340.0,Reconditioned/Certified,"H x 30 1/2"" w x 52 1/2"" d x 18""


Nagevoce.    Blogspot.      Com


tags: #reclaimed , #bench , #modern , #mid century , #dark walnut , #coffee table , #TV stand , #book shelf , #stool , #modern , #hard wood , #handmade , #colonial , #Victorian , #loft , #country , #country French , #Danish design, #art , #Dining Set , #Dining Table , #rustic modern , #dresser , #credenza , #danish , #bedroom , #refurbished , #DIY , #regency , #french provincial , #cottage , #shabby chic , #interior decor , #armoire , #night stands , #side tables , #retro , #art deco , #furniture #restoration #drawers. Make an offer!",https://photos.offerup.com/CNu9mROzEXHJkqSFlOrXFjsOwvI=/600x458/384b/384b4012fbec46859828c25c58c5a3fa.jpg,2019-06-16 20:02:39.816457,0.25
696690840,https://offerup.com/item/detail/696690840/,https://photos.offerup.com/p7arD7_Lam1C1IJhOO-VuRCV5YM=/300x244/042e/042e7159b9e94a8a8f1a6db0949f17c4.jpg,"['french provincial/shabby chic,dress...', '$420.00', 'costa mesa, ca']",420.0,Reconditioned/Certified,"Dimensions 

H x 31"" w x 65 1/2"" x d x 20""

Nagevoce. Blogspot. Com


tags: #reclaimed , #bench , #modern , #mid century , #dark walnut , #coffee table , #TV stand , #book shelf , #stool , #modern , #hard wood , #handmade , #colonial , #Victorian , #loft , #country , #country French , #Danish design, #art , #Dining Set , #Dining Table , #rustic modern , #dresser , #credenza , #danish , #bedroom , #refurbished , #DIY , #regency , #french provincial , #cottage , #shabby chic , #interior decor , #armoire , #night stands , #side tables , #retro , #art deco , #furniture #restoration #drawers. Make an offer!",https://photos.offerup.com/TWQFZIAKe2WzgUTxTmOmdb-loMA=/553x450/042e/042e7159b9e94a8a8f1a6db0949f17c4.jpg,2019-06-16 20:02:39.816457,0.25
696651822,https://offerup.com/item/detail/696651822/,https://photos.offerup.com/cg1RTmTPY05uF0uNki11ZSzUnV8=/300x214/2076/2076230ef3e9474e9d91f3e9b8446220.jpg,"['beautiful 6 ikea drawers dresser cl...', '$135.00', 'east los angeles, ca']",135.0,Used (normal wear),Perfect rolling drawers and SUPER CLEAN inside.  Measurements shown in pic.  No delivery . Make an offer!,https://photos.offerup.com/t50UfHxdif90CzUj0qSyL-8WoXE=/600x429/2076/2076230ef3e9474e9d91f3e9b8446220.jpg,2019-06-16 20:02:39.816457,0.25
696681383,https://offerup.com/item/detail/696681383/,https://photos.offerup.com/AUIVQtDSW7GS8FBXDcdfhViq0ZA=/300x248/e22e/e22e28142511409384ae7b1987ad066d.jpg,"['vintage mid century six drawer dres...', '$200.00', 'pico rivera, ca']",200.0,Used (normal wear),"Very Good Condition 
Price Negotiate
L5ft.8 1/2
H2ft.8
D1ft.8. Make an offer!",https://photos.offerup.com/Z0aP5S6L_HiBs40rwffX_j8zHPo=/600x497/e22e/e22e28142511409384ae7b1987ad066d.jpg,2019-06-16 19:02:39.816457,0.29166666666666663
696679815,https://offerup.com/item/detail/696679815/,https://photos.offerup.com/jiYepA2AdiPMiC5qa5sx2sT0SPU=/300x353/2324/23243df4fce24e74b127a5317b052cc7.jpg,"['ikea dresser', '$55.00', 'westminster, ca']",55.0,Reconditioned/Certified,Ikea dresser. Make an offer!,https://photos.offerup.com/TcjTXVk1EGzN-4dqgx6AR7ki6-w=/600x706/2324/23243df4fce24e74b127a5317b052cc7.jpg,2019-06-16 19:02:39.816457,0.29166666666666663
696676276,https://offerup.com/item/detail/696676276/,https://photos.offerup.com/IOrwcH_PAVauUzciYd0RaCTXBgY=/300x225/4099/40999435b29f40da88895497b890ffdf.jpg,"['dresser', '$300.00', 'covina, ca']",300.0,Used (normal wear),"63 x 17, 32
$300 OR BEST OFFER!. Make an offer!",https://photos.offerup.com/tNRZxs7dqu9rahX_AgXh7lX4_Ag=/600x450/4099/40999435b29f40da88895497b890ffdf.jpg,2019-06-16 19:02:39.816457,0.29166666666666663
695923877,https://offerup.com/item/detail/695923877/,https://photos.offerup.com/lDSRx79pP1C1tQdY2HltjHovZ2I=/300x225/7628/7628aa7d26574b589964fc8eae85306a.jpg,"['dresser', '$15.00', 'san dimas, ca']",15.0,Used (normal wear),Has some stickers on it. Was used in kids room so it needs attention. Very sturdy. Great for young children. Make an offer!,https://photos.offerup.com/6o02s91k_SDOpcXwclamvZUwnbA=/600x450/7628/7628aa7d26574b589964fc8eae85306a.jpg,2019-06-16 19:02:39.816457,0.29166666666666663
