id,url,img,info,price,condition,description,imgurl,postdate,time_since_posting
696957448,https://offerup.com/item/detail/696957448/,https://photos.offerup.com/9RPucFSXcNWBv3QWCcMnyq_FfVM=/300x441/22ba/22ba38cfb0284569a13aa3999d0433f2.jpg,"['ikea coffee table', '$30.00', 'costa mesa, ca']",30.0,Used (normal wear),Ikea coffee table just needs a good wipe down. . Make an offer!,https://photos.offerup.com/oYHmSUOBgEAE5SAyEekjn-FQFJc=/600x882/22ba/22ba38cfb0284569a13aa3999d0433f2.jpg,2019-06-17 12:45:14.384724,0.00486111111111111
696956327,https://offerup.com/item/detail/696956327/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['two folding tables', '$60.00', 'santa clarita, ca']",60.0,Used (normal wear),5 ft x 1 ft and 6 inch. Make an offer!,https://photos.offerup.com/AGjFbzxwlFb9VOsLsvuMt6m-A3s=/600x450/1f2d/1f2dce496acb45c98902e5ce0d2dee4d.jpg,2019-06-17 12:44:14.384724,0.005555555555555555
696955728,https://offerup.com/item/detail/696955728/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['wooden industrial spool table', '$50.00', 'santa ana, ca']",50.0,Used (normal wear),"I used this for my wedding. It is stained dark brown and currently disassembled. I have all the pieces including top and bottom, slats for the center and metal rods that hold it all together. . Make an offer!",https://photos.offerup.com/HYTMeyaVBG6rfSMItiyNwOhSfvI=/600x900/0920/0920f1b010ec4079be7ef62d96d44b50.jpg,2019-06-17 12:42:14.384724,0.006944444444444444
696952368,https://offerup.com/item/detail/696952368/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['modern french provincial living roo...', '$800.00', 'los angeles, ca']",800.0,Used (normal wear),"Modern French provincial living room set sofa , love seat , arm chair 2 end tables and a coffee table. Make an offer!",https://photos.offerup.com/HYw9NOF4aykQBMVxNuSg2lbHUX8=/600x1298/6200/62002df6b14c4c5b93406ff069c2bb31.jpg,2019-06-17 12:36:14.384724,0.01111111111111111
696948661,https://offerup.com/item/detail/696948661/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['dining table', '$60.00', 'south gate, ca']",60.0,Used (normal wear),"Dining table 
Comes with 3 chairs and 3 bar stools 
Lion legs 
Real wood. 
MOVING AND GETTING RID OF STUFF. Make an offer!",https://photos.offerup.com/kPbQkA84Ha8yNE02zmCjPPnLOW8=/600x800/8bc8/8bc88dd17d174574a6a8fc8f1c26e3e7.jpg,2019-06-17 12:30:14.384724,0.015277777777777776
694257735,https://offerup.com/item/detail/694257735/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['dining table', '$100.00', 'whittier, ca']",100.0,New (never used),"Dining table and chairs
New in the box
Delivery available at additional charge . Make an offer!",https://photos.offerup.com/c6fyQ4pBm_Rwk3KQLxslbUW8eSc=/600x1233/a291/a2911c57eae84329b0b63572dff5f219.jpg,2019-06-17 12:23:14.384724,0.020138888888888887
694450872,https://offerup.com/item/detail/694450872/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['dinning table', '$120.00', 'pico rivera, ca']",120.0,New (never used),New. Make an offer!,https://photos.offerup.com/p9gmJ7sT6QiEIj6Vc8LnMSiE3Z0=/600x1066/5722/5722d50fb7c14a8ea66ccbf333ef5416.jpg,2019-06-17 12:23:14.384724,0.020138888888888887
696454116,https://offerup.com/item/detail/696454116/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['dining table', '$100.00', 'whittier, ca']",100.0,New (never used),New. Make an offer!,https://photos.offerup.com/zFgIHYrO3WKp5UN7FafSazmVlYg=/600x800/7a1d/7a1db5cb5871421d9c5316cb1688fc86.jpg,2019-06-17 12:23:14.384724,0.020138888888888887
696944026,https://offerup.com/item/detail/696944026/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['dining set 6 piece, grey color', '$399.00', 'santa ana, ca']",399.0,New (never used),"New in box|  Not Assembled (Assembly Required)

Table: 60"" x 36"" x 30""H
Chair: 18"" x 21"" x 39""H
Bench: 50"" x 16"" x 19""H

Rubber Wood + MDF w. Birch Veneer


Cash and Credit Cards Accepted ||

FINANCE AND DELIVERY AVAILABLE 

Monday        (10am-7pm)
TUESDAY      CLOSED
Wednesday  (10am-7pm)
Thursday      (10am-7pm)
Friday           (10am-7pm)
Saturday      (10am-7pm)
Sunday         (12pm-6pm)

TEMPO CLEARANCE 
1261 S Lyon St Unit 401
Santa Ana, CA,  92705. Make an offer!",https://photos.offerup.com/5AOTQzrfq1yfZ5WRjao01CZogLs=/600x450/305b/305b676e4c2646a782936ffdd36fed02.jpg,2019-06-17 12:22:14.384724,0.020833333333333332
696939511,https://offerup.com/item/detail/696939511/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['table', '$25.00', 'los angeles, ca']",25.0,Used (normal wear),Table has a few stains on top you can paint it selling as is $25obo. Make an offer!,https://photos.offerup.com/fHWk46aj8yMO_2ZSesEOdWZzq20=/600x1066/7e57/7e578d3f8e8548129e404313e178dc23.jpg,2019-06-17 12:13:14.384724,0.02708333333333333
